"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides41858",29.3078888050047,-8.40447527887458,1.76907913664996,-4.75076275829573,2.02650777159285e-06,0.000202712186485697,"Downregulated"
"Pastreoides12451",43.373673538293,-8.15320656899938,1.71668830936744,-4.74938084246852,2.04040376679548e-06,0.000203332010088811,"Downregulated"
"Pastreoides52183",35.0829730360111,-8.19145677964436,1.72777019272054,-4.74105689180003,2.12606216374733e-06,0.000211071615113682,"Downregulated"
"Pastreoides27106",73.3173789035611,-5.4062814581015,1.14368198853933,-4.72708454996848,2.27766442124137e-06,0.000225275513243978,"Downregulated"
"Pastreoides04460",45.5475570962655,-8.11583990622063,1.71790656380374,-4.72426153856165,2.3095303577449e-06,0.000227574916743759,"Downregulated"
"Pastreoides00502",10.1570114850694,-17.0822025391657,3.61850769041201,-4.72078657851924,2.34934346403687e-06,0.000230637405941583,"Downregulated"
"Pastreoides10394",103.364482735547,-7.0590810963127,1.49693862103017,-4.71567838329588,2.4090672046353e-06,0.000235624617555589,"Downregulated"
"Pastreoides30056",6.20374755111572,-16.2909408251191,3.45714341589372,-4.71225484896688,2.44990722071219e-06,0.000238734870422758,"Downregulated"
"Pastreoides18804",29.116587015984,-8.28927767929629,1.76308101647126,-4.70158637172951,2.58148024987231e-06,0.00025063136190672,"Downregulated"
"Pastreoides58720",7.08892084536692,-17.6483035102898,3.75671518875485,-4.69780183579454,2.6297638870369e-06,0.000253455491711206,"Downregulated"
"Pastreoides18601",62.1502250310668,-7.46688282349984,1.58926817905418,-4.69831518802799,2.62316402007522e-06,0.000253455491711206,"Downregulated"
"Pastreoides06122",93.8175117865031,-3.60948900874854,0.76868797393125,-4.69564912052515,2.65761403068807e-06,0.00025520825935422,"Downregulated"
"Pastreoides17665",81.2895475710833,-6.31869021909333,1.34591415356621,-4.69472009217747,2.66972031511418e-06,0.000255441935078027,"Downregulated"
"Pastreoides32245",52.4150614403766,-6.14519881954524,1.31022283074937,-4.69019366425676,2.72946585023832e-06,0.000260215646834273,"Downregulated"
"Pastreoides21416",55.2693054271043,-3.31370226404793,0.706674221571636,-4.68915118578726,2.7434064781839e-06,0.000260603878690217,"Downregulated"
"Pastreoides58422",28.7597191327458,-7.83185770058476,1.67230538117683,-4.68327004669049,2.82334156654239e-06,0.000267235856950722,"Downregulated"
"Pastreoides52808",363.084176408753,-4.66366149229442,0.996038007809097,-4.68221238118482,2.83795223047833e-06,0.000267659437508828,"Downregulated"
"Pastreoides48711",61.5368169671238,-5.14757892854515,1.09989048301646,-4.68008316103243,2.86758576714167e-06,0.000269491832521983,"Downregulated"
"Pastreoides59887",35.9492109925177,-6.87782496021009,1.4705299337259,-4.67710639713648,2.90951314964977e-06,0.00027246249381543,"Downregulated"
