slice,38_SS,90_DD,96_DS,70_SD,86_DS,95_DS,25_SD,83_DD,94_DD,39_SS,35_SS
118,173.056,204.608,183.283,180.374,145.309,193.959,178.035,162.707,171.567,151.314,198.314
119,172.995,203.57,182.658,180.354,144.78,194.036,178.346,162.436,171.785,151.342,198.24
120,172.918,202.212,181.981,180.168,144.338,194.144,178.295,162.563,171.933,151.383,198.055
121,172.763,200.877,181.275,180.117,144.03,194.645,178.148,162.296,172.288,151.094,198.01
122,172.91,199.795,180.645,179.849,143.744,194.844,178.227,162.625,172.532,150.784,198.291
123,173.186,198.533,179.8,179.362,143.431,194.814,178.314,162.916,172.724,150.568,198.596
124,173.43,197.487,178.708,178.977,143.11,194.721,178.352,163.188,173.072,150.625,198.923
125,173.591,196.649,177.113,178.219,142.733,194.583,178.599,163.656,173.528,150.96,199.264
126,173.892,196.365,175.833,177.212,141.996,194.466,178.701,163.817,173.963,151.153,199.46
127,174.03,196.552,175.594,176.277,141.505,194.212,178.774,163.935,174.16,151.276,199.254
128,174.075,197.217,175.418,175.566,141.103,193.963,178.619,163.883,174.2,151.326,198.949
129,174.113,198.081,175.363,175.062,140.774,193.689,178.492,163.708,174.495,151.582,198.743
130,174.107,198.738,176.339,174.884,140.307,193.218,178.528,163.177,174.827,151.837,198.611
131,173.972,199.155,178.141,174.934,140.402,192.809,178.721,162.738,174.903,152.12,198.677
132,173.768,198.998,179.263,175.493,140.659,192.652,179.063,162.626,174.907,152.273,198.815
133,173.516,198.652,179.251,176.329,140.762,192.615,179.407,162.457,174.644,152.29,199.022
134,173.37,198.142,178.846,176.674,140.698,192.791,179.967,162.194,174.366,152.167,199.315
135,173.096,197.607,178.687,176.41,140.798,193.286,180.497,161.96,174.144,152.214,199.51
136,173.074,197.331,179.574,175.981,140.658,193.415,180.908,161.651,173.993,152.152,199.671
137,173.059,197.419,179.999,175.77,140.233,193.151,181.284,161.785,174.315,152.11,199.915
138,173.074,197.525,179.655,175.229,139.939,193,181.554,162.448,174.563,152.108,199.812
139,172.996,197.42,179.587,175.084,139.667,192.768,181.996,163.494,174.854,152.242,199.687
140,173.073,197.535,179.649,175.006,139.534,192.091,182.163,164.218,175.188,152.457,199.339
141,173.343,197.605,179.861,174.64,139.38,191.494,182.138,165.027,175.556,152.759,198.998
142,173.526,197.443,179.878,174.474,139.056,191.152,182.078,166.092,175.784,152.968,198.808
143,173.658,197.377,180.1,174.617,138.593,190.925,182.056,167.073,175.973,152.891,198.707
144,173.902,198.03,181.022,174.68,138.072,190.831,181.911,167.4,176.368,153.123,198.728
145,174.211,198.314,181.504,174.45,137.848,190.584,181.65,168.053,176.544,152.997,198.667
