slice,40_SD,63_SS,48_SD,30_DD,27_DD,271_DD,61_SS,50_DS,29_DD,52_DS,521_DS,46_SD,461_SD,651_SS,65_SS,541_DS,54_DS
109,160.677,140.839,147.034,152.502,167.679,150.853,161.458,142.062,160.219,176.162,185.224,133.324,140.235,171.045,171.243,172.081,159.704
110,160.92,140.736,147.514,151.817,167.93,150.289,161.621,141.745,160.064,175.985,186.227,134.022,140.374,172.074,171.791,172.144,159.984
111,160.808,140.636,148.098,151.565,168.277,149.932,161.327,141.478,160.059,176.615,187.192,134.244,140.402,172.892,172.33,172.51,160.824
112,160.768,140.355,148.455,151.516,168.658,150.002,161.011,141.07,159.844,177.348,187.894,134.456,140.352,173.441,172.549,173.02,162.001
113,160.753,140.619,148.696,151.865,168.774,150.34,160.494,140.494,159.805,178.144,188.113,134.45,140.586,173.689,173.01,173.26,162.705
114,160.96,140.992,148.887,152.02,169.051,150.4,160.271,140.077,159.865,178.722,188.212,134.291,140.995,173.749,173.343,173.59,163.152
115,160.922,140.906,148.91,151.815,169.365,150.564,160.338,139.673,160.104,179.297,188.289,134.518,141.543,173.899,173.127,174.245,163.312
116,161.143,140.582,149.26,151.971,169.476,150.774,160.497,139.375,160.073,179.314,188.628,134.768,142.082,174.085,173.002,174.958,163.392
117,161.491,141.464,149.585,152.159,170.118,150.981,160.523,138.806,160.121,178.689,188.428,134.914,142.49,174.344,173.03,175.082,163.564
118,161.805,142.891,150.126,152.305,170.217,151.112,160.608,138.169,159.85,178.221,187.94,135.393,142.684,173.916,173.616,175.176,163.702
119,162.036,143.915,150.765,152.617,170.244,151.39,160.897,137.568,159.565,177.593,187.556,135.962,142.711,173.658,173.489,175.441,163.381
120,162.416,145.543,151.378,152.76,170.079,151.876,161.179,137.106,159.483,176.638,186.827,136.66,142.352,173.495,173.412,175.588,162.906
121,162.893,147.152,151.717,152.878,169.964,152.554,161.647,136.797,159.749,175.985,186.166,137.78,142.292,173.239,173.431,175.688,162.604
122,163.564,148.488,151.877,152.697,169.703,152.983,162.188,136.487,159.992,175.644,185.503,139.059,142.508,173.285,173.623,175.434,162.254
123,163.931,149.127,152.151,152.348,169.93,153.496,162.663,136.329,160.326,175.146,185.098,140.088,142.756,173.313,173.76,175.174,161.978
124,164.297,149.571,152.341,152.019,169.771,153.956,163.108,136.096,161.17,174.649,184.864,140.725,143.119,173.364,173.679,175.148,161.556
125,165.001,149.764,152.742,151.483,169.215,153.917,163.366,135.641,162.158,173.69,184.611,140.879,143.77,173.65,173.68,174.7,161.04
126,165.605,149.622,152.815,150.954,168.928,153.676,163.454,135.326,162.45,172.621,184.144,140.951,144.542,174.456,174.162,173.826,161.101
127,166.2,149.722,152.55,150.696,169.202,153.508,163.729,135.118,162.846,171.672,183.617,140.964,145.414,175.511,174.625,173.055,161.282
128,166.548,150.292,152.393,150.619,169.666,153.203,163.952,134.936,163.253,170.706,183.632,140.814,146.132,176.48,174.763,172.343,161.372
129,166.869,151.438,152.279,150.341,170.31,152.818,164.051,134.991,163.086,169.657,183.591,140.663,146.694,177.378,175.596,171.956,161.905
130,167.277,152.581,152.502,150.055,170.444,152.444,164.199,134.818,163.017,169.205,183.827,140.919,146.749,178.595,176.565,171.625,162.456
131,167.654,154.038,152.754,150.186,170.062,152.607,164.447,134.567,162.413,168.766,184.029,141.054,146.688,179.89,177.866,171.685,162.781
132,167.584,155.068,153.044,150.602,170.398,152.217,164.289,134.279,161.986,168.322,184.008,140.931,146.331,180.621,178.88,171.98,162.799
133,167.694,155.663,153.488,151.368,170.725,152.168,163.883,134.053,161.318,168.136,183.848,140.851,145.886,181.366,179.445,172.254,163.008
134,168.207,156.565,154.017,152.065,171.232,152.153,163.625,133.988,160.45,168.25,183.501,140.888,145.416,182.098,179.544,172.509,163.076
135,168.337,157.739,154.297,152.705,171.287,152.549,163.277,133.809,159.593,167.93,183.058,141.234,145.145,182.561,179.776,172.673,162.774
136,168.739,158.67,154.563,153.153,170.875,152.832,162.98,133.844,159.446,167.393,182.551,141.168,144.879,182.944,179.732,173.492,162.244
137,169.116,159.08,154.747,153.152,170.818,153.168,162.673,133.81,159.602,166.915,182.045,141.129,144.817,182.661,179.592,174.165,162.115
138,169.439,159.712,154.997,152.918,170.476,153.174,162.603,133.976,159.564,166.243,181.563,141.592,145.068,182.192,178.909,174.78,162.067
