slice,38_SS.1,90_DD.1,96_DS.1,70_SD.1,86_DS.1,95_DS.1,25_SD.1,83_DD.1,94_DD.1,39_SS.1,35_SS.1,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
36,166.404,174.637,151.111,141.545,150.334,190.458,148.621,149.248,178.722,137.68,178.966,162.279,159.816,145.359,148.382,148.031,185.203,163.677,158.482,152.761,170.628,161.934,165.869,125.585,126.017,159.109,152.736,171.737,165.366
37,166.967,174.719,152.281,142.092,151.89,191.314,148.609,150.181,177.976,137.035,179.803,162.145,158.669,146.637,148.783,148.057,184.095,163.238,158.848,153.121,171.134,163.285,166.793,126.493,126.196,159.608,153.796,172.392,165.151
38,167.66,175.348,152.839,143.071,153.595,192.09,148.948,151.352,176.405,136.705,180.344,162.303,157.22,147.093,148.757,148.167,184.047,162.613,159.095,153.27,171.367,164.403,167.603,126.995,126.407,160.576,154.872,172.58,164.617
39,167.781,176.128,153.85,143.93,155.118,193.134,148.493,152.209,175.047,136.683,180.996,162.495,155.97,148.762,148.728,148.729,183.862,161.696,159.325,153.326,171.646,165.891,168.88,127.602,126.729,160.366,156.446,172.847,164.189
40,167.526,176.889,155.5,144.365,156.185,193.858,148.684,152.89,174.226,136.679,181.707,162.692,154.9,150.58,148.96,149.696,183.747,161.002,159.55,153.009,171.667,166.631,169.694,127.886,126.539,160.431,157.749,173.451,163.857
41,166.891,177.573,157.058,144.735,157.359,194.418,148.457,153.747,173.476,136.355,182.296,162.722,154.556,151.354,149.46,150.715,183.748,160.856,159.515,152.822,171.491,167.737,170.671,127.45,126.639,159.64,159.425,174.158,163.816
42,166.623,178.063,158.303,144.285,158.19,194.593,147.879,154.607,173.29,136.267,182.98,162.839,155.241,152.641,149.867,151.852,184.033,161.046,159.259,152.491,171.566,169.642,171.516,127.329,127.173,159.181,159.933,174.405,163.723
43,166.32,178.641,160.349,143.654,158.54,194.671,147.202,155.359,173.224,136.003,183.904,162.764,155.907,153.389,150.24,152.788,184.769,161.485,158.904,152.087,171.496,171.853,172.262,127.66,128.091,159.695,160.071,174.484,163.744
44,166.237,179.172,162.408,143.118,158.968,194.989,146.662,156.161,173.185,135.591,184.877,162.657,156.613,152.757,150.451,153.459,186.135,162.346,158.783,151.772,171.078,173.202,172.684,127.975,128.666,160.901,160.444,174.926,163.909
45,166.259,179.343,164.03,142.403,159.093,195.393,146.739,156.633,173.735,135.169,185.948,162.965,157.333,151.686,150.929,154.396,187.275,163.388,158.694,151.42,170.647,172.883,173.112,127.846,128.974,162.339,161.001,175.402,164.21
46,166.186,179.303,165.913,141.512,159.032,196.156,147.054,156.914,173.805,134.92,186.483,163.123,158.379,151.157,151.068,155.238,187.973,163.307,158.951,151.269,170.145,173.799,174.092,127.898,129.179,163.954,161.577,175.862,164.705
