slice,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
80,165.878,170.554,157.119,153.885,166.831,186.795,163.624,173.845,156.007,168.255,190.101,191.099,136.993,138.222,177.979,173.292,180.876,173.721
81,166.689,170.938,157.406,153.71,166.732,186.743,163.806,173.943,156.02,168.612,190.4,190.838,137.323,138.632,178.195,173.347,181.552,173.557
82,167.949,171.17,157.384,153.865,167.032,186.609,164.438,173.772,156.241,168.499,190.598,191.022,137.839,139.382,178.192,173.228,182.464,173.56
83,169.337,171.59,156.855,153.956,167.273,186.422,165.376,173.675,156.326,168.229,190.997,191.231,138.611,140.31,177.681,173.556,183.103,173.592
84,170.725,172.379,156.312,153.858,167.581,186.076,165.84,173.76,156.24,168.309,191.048,191.399,139.38,141.075,177.221,174.026,183.721,173.836
85,172.114,173.21,155.717,153.655,168.32,185.76,165.995,173.851,156.18,168.722,191.302,191.204,140.12,141.627,176.919,174.681,183.861,174.386
86,172.829,174.195,155.203,153.598,168.922,185.682,165.812,173.919,156.095,169.512,191.92,191.219,141.05,142.005,176.914,175.1,183.618,174.741
87,173.086,175.289,154.805,153.528,169.602,185.097,165.814,174.105,155.99,170.232,192.222,191.482,141.984,142.178,177.357,175.33,183.41,174.923
88,173.142,176.423,154.694,153.687,170.2,184.477,165.874,174.188,155.924,171.012,192.432,191.825,142.95,142.328,177.752,175.145,183.528,174.939
89,173.446,177.168,154.531,153.657,170.608,184.266,165.75,174.19,155.917,171.674,192.423,192.392,144.027,142.622,178.239,175.086,183.798,174.771
90,173.423,177.825,154.497,153.767,171.109,184.012,165.578,174.186,155.769,171.966,192.247,193.143,144.697,143.088,178.653,175.228,184.143,174.704
91,173.085,178.302,154.387,153.941,171.334,183.895,165.297,174.117,155.614,172.18,192.172,193.878,145.246,143.649,179.162,175.521,184.905,174.59
92,172.73,178.541,154.742,154.044,171.444,183.663,165.14,174.017,155.492,172.383,192.41,194.949,145.953,144.53,179.586,176.288,185.563,174.692
93,172.119,178.588,155.245,154.274,171.183,183.31,164.689,174.152,155.59,172.624,192.568,195.716,146.293,145.349,179.799,177.305,185.985,174.805
94,171.371,178.65,155.305,154.351,170.761,183.015,164.178,174.315,155.68,172.937,192.492,196.575,146.609,146.128,180.217,178.262,185.821,174.617
95,170.574,178.835,155.11,154.735,170.163,183.036,163.8,174.612,155.595,173.117,192.579,197.467,146.681,146.661,180.967,178.811,185.32,174.496
96,170.004,178.726,155.85,155.188,169.481,182.901,163.538,174.908,155.574,173.276,192.336,198.357,146.768,147.169,181.615,179.315,185.004,174.256
97,169.758,178.459,157.181,155.616,168.766,182.504,163.374,175.217,155.863,173.421,192.048,198.867,146.946,147.556,182.326,180.36,184.751,173.89
98,169.422,178.012,158.218,156.053,167.717,182.5,163.171,175.261,155.978,173.878,191.847,198.855,147.103,148.191,183.224,181.447,185.065,173.526
99,169.57,177.396,159.816,156.452,166.533,182.384,163.265,175.332,155.844,174.075,191.648,198.712,147.143,149.021,184.2,182.069,185.468,173.445
100,169.913,176.707,161.563,156.911,165.47,182.651,163.638,175.553,155.737,174.105,191.33,198.635,147.497,149.643,185.355,182.556,185.672,173.488
101,170.342,176.17,162.864,157.328,164.969,183.021,164.061,175.801,155.844,174.406,191.383,198.507,148.066,150.389,186.24,182.914,186.154,173.551
102,170.771,175.609,163.569,157.777,164.34,183.429,164.362,175.799,155.855,174.69,191.989,198.326,148.895,151.372,186.943,183.358,186.524,173.488
103,171.436,174.978,164.137,158.172,164.002,183.95,164.379,175.672,155.701,174.666,192.604,198.379,150.172,152.353,187.429,183.824,187.01,173.275
104,172.577,174.588,164.227,158.717,163.849,184.188,164.74,175.682,155.502,174.42,193.113,198.266,151.547,152.852,187.674,184.459,187.472,173.161
105,173.491,174.381,164.138,159.186,164.299,184.398,165.306,175.509,155.225,174.346,193.594,198.283,152.368,153.23,187.792,185.059,188.11,173.459
106,173.99,174.369,164.138,159.767,164.409,184.555,165.69,175.215,154.921,174.151,194.06,198.54,152.892,153.577,188.042,185.724,188.848,174.498
107,174.272,174.771,164.765,160.297,164.16,184.667,165.955,174.809,154.575,174.059,194.082,199.051,153.036,153.639,188.248,186.421,189.115,175.53
108,174.752,175.144,165.855,160.943,164.223,185.336,165.669,174.62,154.117,174.046,193.634,199.946,153.122,153.597,188.512,186.929,189.33,176.233
109,175.522,175.808,167.016,161.309,164.282,185.491,165.054,174.708,153.499,174.015,193.214,200.852,153.175,153.514,188.282,187.15,189.532,176.79
110,175.831,176.231,168.489,161.577,164.328,185.399,164.416,174.736,152.964,174.095,192.328,201.681,153.098,153.544,188.128,187.568,189.712,177.098
111,175.748,176.733,169.759,161.792,164.596,185.235,163.987,174.864,152.476,174.56,191.349,202.48,153.101,153.691,187.916,187.768,189.74,177.245
112,175.575,177.104,170.496,161.821,164.708,185.086,163.881,174.953,152.046,174.629,190.544,203.179,153.455,153.733,187.715,187.761,189.48,177.351
113,175.553,177.44,171.385,162.153,164.881,184.753,163.893,175.255,151.501,174.473,190.044,203.318,153.589,153.989,187.782,187.745,189.214,177.507
114,175.784,177.894,172.359,162.59,164.838,184.724,163.726,175.563,150.832,174.11,189.582,203.23,153.739,154.487,187.9,187.93,189.009,177.07
115,175.885,178.377,172.936,163.15,164.614,184.69,163.884,175.86,150.252,173.937,189.041,203.145,153.631,155.131,188.111,188.416,188.487,176.686
116,176.04,178.818,173.283,163.707,164.231,184.08,164.041,176.355,149.785,173.937,188.065,203.323,153.685,155.643,188.476,188.445,187.671,176.389
117,176.33,178.918,174.002,164.173,163.689,183.852,164.219,176.731,149.368,174.071,187.096,203.257,153.746,155.949,189.251,188.535,187.06,176.254
118,176.577,179.113,174.601,164.506,163.238,183.874,164.449,177.213,148.989,174.245,186.161,202.757,153.572,156.156,190.052,188.422,186.397,176.006
119,176.787,179.275,175.008,164.693,163.048,184.361,165.068,177.669,148.735,174.518,185.221,202.21,153.483,156.284,191.132,188.758,185.843,175.647
120,177.2,179.444,175.12,164.857,162.934,184.942,165.719,177.938,148.426,175.392,184.36,201.495,153.984,156.178,192.136,188.87,185.503,175.349
121,177.762,179.796,175.06,165.184,162.609,185.018,166.432,178.214,148.084,176.168,183.907,200.907,154.851,156.06,193.395,188.825,185.411,175.419
122,178.436,179.656,175.088,165.487,162.453,184.767,166.893,178.417,147.757,176.675,183.472,200.319,155.758,156.209,194.77,188.944,185.635,175.56
123,178.999,179.378,175.14,165.614,162.656,184.927,167.658,178.378,147.58,176.949,183.063,200.007,156.403,156.604,195.595,189.447,186.137,175.772
124,179.432,179.209,174.82,165.457,163.026,185.156,168.161,178.56,147.449,177.366,182.83,199.792,157.288,157.09,196.293,189.881,186.322,176.28
125,180.029,178.811,175.308,165.299,163.668,185.505,167.901,178.726,147.424,177.167,182.716,199.691,158,157.782,196.942,190.24,186.496,176.9
126,180.567,178.685,176.218,165.202,164.342,185.607,167.532,178.696,147.133,176.913,182.299,199.377,158.849,158.511,197.519,191.067,187.204,177.208
127,181.088,178.526,177.042,165.368,164.989,185.347,167.251,178.301,146.788,176.335,181.613,199.019,159.455,159.408,197.937,192.021,187.884,177.145
128,181.519,178.329,177.75,165.719,165.456,185.104,166.893,178.024,146.436,176.035,180.934,198.945,159.666,160.12,197.707,193.327,188.318,177.059
129,181.916,178.546,179.135,166.061,165.429,185.052,166.471,177.687,146.187,175.451,180.343,198.819,159.743,160.654,197.248,194.3,188.32,176.955
130,182.34,179.316,180.262,166.485,165.137,185.351,166.222,177.498,146.059,174.685,179.314,198.905,159.746,160.832,197.009,194.841,188.005,176.503
131,182.587,180.152,181.312,166.931,165.376,185.201,166.083,177.26,145.853,173.96,178.247,198.872,160.143,160.732,196.844,195.014,187.604,175.892
132,182.582,180.977,182.479,167.261,165.579,184.625,165.672,177.096,145.882,173.79,177.227,198.537,161.014,160.455,196.441,195.242,187.034,175.578
133,182.793,181.648,183.274,167.583,165.644,183.884,165.823,176.856,145.906,173.97,176.227,198.132,161.909,160.054,196.114,195.296,186.022,175.627
134,183.295,181.893,183.815,167.797,165.421,183.204,165.88,176.758,146.061,174.118,175.526,197.807,162.506,159.589,195.854,195.24,184.817,176.135
135,183.6,182.023,183.964,168.005,165.215,182.851,166.095,176.92,146.168,174.409,174.925,197.384,163.087,159.276,195.396,194.825,183.744,176.786
136,183.896,182.372,184.309,168.376,165.021,182.336,166.395,177.022,146.188,174.961,174.29,196.837,163.798,159.231,195.049,194.414,182.692,177.461
137,184.303,183.064,184.835,168.682,165.033,182.11,166.835,177.448,146.275,175.87,173.941,196.383,164.373,159.243,195.02,194.554,181.885,177.774
138,184.618,183.781,185.507,169.03,165.032,182.099,167.037,178.072,146.472,176.956,174.263,195.966,164.77,159.511,195.314,194.587,181.469,178.278
139,184.964,183.99,186.242,169.304,165.079,181.864,166.916,178.738,146.838,177.803,174.953,195.443,165.192,159.67,195.835,194.616,181.053,178.421
140,185.242,183.876,187.12,169.814,165.282,181.77,166.561,179.24,147.014,178.261,175.287,194.646,165.573,159.759,196.384,194.534,180.821,178.487
141,185.693,183.442,188.466,170.318,165.345,181.39,166.295,179.678,146.91,178.826,175.409,193.975,165.958,160.027,196.667,194.618,181.083,178.208
142,186.16,183.117,189.568,170.749,165.017,180.91,166.502,180.102,146.895,179.378,175.189,193.282,166.198,160.512,197.007,194.356,181.404,177.72
143,186.445,182.645,190.203,171.299,164.909,180.732,166.343,180.627,147.082,180.221,174.841,192.781,166.34,161.179,197.48,194.154,181.429,177.135
